行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 男生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 女生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 總數,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 男生,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 女生,全體考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 - 總數
1,考生人數,人數,18271,18567,36838,20278,20291,40569
2,最佳五科總積點 8 – 11,人數,30,67,97,34,76,110
3,最佳五科總積點 8 – 11,百分比,0.2%,0.4%,0.3%,0.2%,0.4%,0.3%
4,最佳五科總積點 12 – 14,人數,420,830,1250,462,877,1339
5,最佳五科總積點 12 – 14,百分比,2.3%,4.5%,3.4%,2.3%,4.3%,3.3%
6,最佳五科總積點 15 – 17,人數,1697,2476,4173,1834,2635,4469
7,最佳五科總積點 15 – 17,百分比,9.3%,13.3%,11.3%,9.0%,13.0%,11.0%
8,最佳五科總積點 18 – 20,人數,2346,2902,5248,2524,3100,5624
9,最佳五科總積點 18 – 20,百分比,12.8%,15.6%,14.2%,12.4%,15.3%,13.9%
10,最佳五科總積點 21 – 23,人數,1859,2001,3860,2012,2139,4151
11,最佳五科總積點 21 – 23,百分比,10.2%,10.8%,10.5%,9.9%,10.5%,10.2%
12,最佳五科總積點 24 – 26,人數,1050,1059,2109,1165,1151,2316
13,最佳五科總積點 24 – 26,百分比,5.7%,5.7%,5.7%,5.7%,5.7%,5.7%
14,最佳五科總積點 27 – 29,人數,635,519,1154,695,593,1288
15,最佳五科總積點 27 – 29,百分比,3.5%,2.8%,3.1%,3.4%,2.9%,3.2%
16,最佳五科總積點 30 – 32,人數,347,210,557,368,233,601
17,最佳五科總積點 30 – 32,百分比,1.9%,1.1%,1.5%,1.8%,1.1%,1.5%
18,最佳五科總積點 33 – 35,人數,155,88,243,162,97,259
19,最佳五科總積點 33 – 35,百分比,0.8%,0.5%,0.7%,0.8%,0.5%,0.6%
