行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數",,
1,考生人數,人數,24378,24755,49133,25329,25491,50820,,
2,五科取得5** 級,人數,53,33,86,53,33,86,,
3,五科取得5** 級,百分比,0.2%,0.1%,0.2%,0.2%,0.1%,0.2%,,
4,五科取得5* 級或以上,人數,314,306,620,316,306,622,,
5,五科取得5* 級或以上,百分比,1.3%,1.2%,1.3%,1.2%,1.2%,1.2%,,
6,五科取得5 級或以上,人數,1011,1226,2237,1021,1230,2251,,
7,五科取得5 級或以上,百分比,4.1%,5.0%,4.6%,4.0%,4.8%,4.4%,,
8,五科取得4 級或以上,人數,4314,6038,10352,4390,6089,10479,,
9,五科取得4 級或以上,百分比,17.7%,24.4%,21.1%,17.3%,23.9%,20.6%,,
10,五科取得3 級或以上,人數,10154,13050,23204,10376,13188,23564,,
11,五科取得3 級或以上,百分比,41.7%,52.7%,47.2%,41.0%,51.7%,46.4%,,
12,五科取得2 級或以上,人數,17748,20035,37783,18265,20377,38642,,
13,五科取得2 級或以上,百分比,72.8%,80.9%,76.9%,72.1%,79.9%,76.0%,,
14,五科取得1 級或以上,人數,21804,23169,44973,22541,23711,46252,,
15,五科取得1 級或以上,百分比,89.4%,93.6%,91.5%,89.0%,93.0%,91.0%,,
16,四科取得1 級或以上,人數,23084,24057,47141,23901,24661,48562,,
17,四科取得1 級或以上,百分比,94.7%,97.2%,95.9%,94.4%,96.7%,95.6%,,
18,三科取得1 級或以上,人數,23708,24461,48169,24573,25098,49671,,
19,三科取得1 級或以上,百分比,97.3%,98.8%,98.0%,97.0%,98.5%,97.7%,,
20,兩科取得1 級或以上,人數,24053,24635,48688,24946,25313,50259,,
21,兩科取得1 級或以上,百分比,98.7%,99.5%,99.1%,98.5%,99.3%,98.9%,,
22,一科取得1 級或以上,人數,24247,24712,48959,25173,25426,50599,,
23,一科取得1 級或以上,百分比,99.5%,99.8%,99.6%,99.4%,99.7%,99.6%,,
