行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數",,,,,,,
1,考生人數,人數,24378,24755,49133,25329,25491,50820,,,,,,,
2,總積點 10 – 12,人數,34,79,113,35,81,116,,,,,,,
3,總積點 10 – 12,百分比,0.1%,0.3%,0.2%,0.1%,0.3%,0.2%,,,,,,,
4,總積點 13 – 15,人數,592,1169,1761,610,1193,1803,,,,,,,
5,總積點 13 – 15,百分比,2.4%,4.7%,3.6%,2.4%,4.7%,3.5%,,,,,,,
6,總積點 16 – 18,人數,1986,3354,5340,2031,3382,5413,,,,,,,
7,總積點 16 – 18,百分比,8.1%,13.5%,10.9%,8.0%,13.3%,10.7%,,,,,,,
8,總積點 19 – 21,人數,2554,3864,6418,2587,3896,6483,,,,,,,
9,總積點 19 – 21,百分比,10.5%,15.6%,13.1%,10.2%,15.3%,12.8%,,,,,,,
10,總積點 22 – 24,人數,1640,2213,3853,1663,2230,3893,,,,,,,
11,總積點 22 – 24,百分比,6.7%,8.9%,7.8%,6.6%,8.7%,7.7%,,,,,,,
12,總積點 25 – 27,人數,892,1142,2034,909,1152,2061,,,,,,,
13,總積點 25 – 27,百分比,3.7%,4.6%,4.1%,3.6%,4.5%,4.1%,,,,,,,
14,總積點 28 – 30,人數,504,590,1094,512,594,1106,,,,,,,
15,總積點 28 – 30,百分比,2.1%,2.4%,2.2%,2.0%,2.3%,2.2%,,,,,,,
16,總積點 31 – 33,人數,275,276,551,277,277,554,,,,,,,
17,總積點 31 – 33,百分比,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,,,,,,,
18,總積點 34 – 35,人數,86,69,155,87,69,156,,,,,,,
19,總積點 34 – 35,百分比,0.4%,0.3%,0.3%,0.3%,0.3%,0.3%,,,,,,,
