行號,科目,性別,類別,報考人數,出席人數,表現 - a,表現 - b+,表現 - c+,表現 - d+,表現 - e+,表現 - U
1,法語,男生,數字,18,17,3,5,8,10,12,5
2,法語,男生,百分比,,,17.6%,29.4%,47.1%,58.8%,70.6%,29.4%
3,法語,女生,數字,42,41,5,8,14,19,25,16
4,法語,女生,百分比,,,12.2%,19.5%,34.1%,46.3%,61.0%,39.0%
5,法語,總數,數字,60,58,8,13,22,29,37,21
6,法語,總數,百分比,,,13.8%,22.4%,37.9%,50.0%,63.8%,36.2%
7,德語,男生,數字,2,2,1,2,2,2,2,0
8,德語,男生,百分比,,,50.0%,100.0%,100.0%,100.0%,100.0%,0.0%
9,德語,女生,數字,5,5,1,3,3,4,5,0
10,德語,女生,百分比,,,20.0%,60.0%,60.0%,80.0%,100.0%,0.0%
11,德語,總數,數字,7,7,2,5,5,6,7,0
12,德語,總數,百分比,,,28.6%,71.4%,71.4%,85.7%,100.0%,0.0%
13,印地語,男生,數字,3,3,0,0,0,0,0,3
14,印地語,男生,百分比,,,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
15,印地語,女生,數字,5,5,1,2,2,3,4,1
16,印地語,女生,百分比,,,20.0%,40.0%,40.0%,60.0%,80.0%,20.0%
17,印地語,總數,數字,8,8,1,2,2,3,4,4
18,印地語,總數,百分比,,,12.5%,25.0%,25.0%,37.5%,50.0%,50.0%
19,日語,男生,數字,74,65,24,38,53,59,62,3
20,日語,男生,百分比,,,36.9%,58.5%,81.5%,90.8%,95.4%,4.6%
21,日語,女生,數字,149,141,71,112,126,135,137,4
22,日語,女生,百分比,,,50.4%,79.4%,89.4%,95.7%,97.2%,2.8%
23,日語,總數,數字,223,206,95,150,179,194,199,7
24,日語,總數,百分比,,,46.1%,72.8%,86.9%,94.2%,96.6%,3.4%
25,西班牙語,男生,數字,9,9,1,2,3,5,7,2
26,西班牙語,男生,百分比,,,11.1%,22.2%,33.3%,55.6%,77.8%,22.2%
27,西班牙語,女生,數字,4,4,2,2,3,3,3,1
28,西班牙語,女生,百分比,,,50.0%,50.0%,75.0%,75.0%,75.0%,25.0%
29,西班牙語,總數,數字,13,13,3,4,6,8,10,3
30,西班牙語,總數,百分比,,,23.1%,30.8%,46.2%,61.5%,76.9%,23.1%
31,烏爾都語,男生,數字,14,14,6,9,11,12,13,1
32,烏爾都語,男生,百分比,,,42.9%,64.3%,78.6%,85.7%,92.9%,7.1%
33,烏爾都語,女生,數字,5,5,2,2,4,4,4,1
34,烏爾都語,女生,百分比,,,40.0%,40.0%,80.0%,80.0%,80.0%,20.0%
35,烏爾都語,總數,數字,19,19,8,11,15,16,17,2
36,烏爾都語,總數,百分比,,,42.1%,57.9%,78.9%,84.2%,89.5%,10.5%
37,所有丙類學科,男生,數字,120,110,35,56,77,88,96,14
38,所有丙類學科,男生,百分比,,,31.8%,50.9%,70.0%,80.0%,87.3%,12.7%
39,所有丙類學科,女生,數字,210,201,82,129,152,168,178,23
40,所有丙類學科,女生,百分比,,,40.8%,64.2%,75.6%,83.6%,88.6%,11.4%
41,所有丙類學科,總數,數字,330,311,117,185,229,256,274,37
42,所有丙類學科,總數,百分比,,,37.6%,59.5%,73.6%,82.3%,88.1%,11.9%
