No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,13,13,3,7,12,1
2,Applied Science,Animal Care,Male,Percentage,,,23.1%,53.8%,92.3%,7.7%
3,Applied Science,Animal Care,Female,Number,42,39,7,23,37,2
4,Applied Science,Animal Care,Female,Percentage,,,17.9%,59.0%,94.9%,5.1%
5,Applied Science,Animal Care,Total,Number,55,52,10,30,49,3
6,Applied Science,Animal Care,Total,Percentage,,,19.2%,57.7%,94.2%,5.8%
7,Applied Science,Applied Psychology,Male,Number,125,115,7,32,97,18
8,Applied Science,Applied Psychology,Male,Percentage,,,6.1%,27.8%,84.3%,15.7%
9,Applied Science,Applied Psychology,Female,Number,177,168,41,98,161,7
10,Applied Science,Applied Psychology,Female,Percentage,,,24.4%,58.3%,95.8%,4.2%
11,Applied Science,Applied Psychology,Total,Number,302,283,48,130,258,25
12,Applied Science,Applied Psychology,Total,Percentage,,,17.0%,45.9%,91.2%,8.8%
13,Applied Science,Exercise and Fitness Coaching,Male,Number,188,172,5,23,137,35
14,Applied Science,Exercise and Fitness Coaching,Male,Percentage,,,2.9%,13.4%,79.7%,20.3%
15,Applied Science,Exercise and Fitness Coaching,Female,Number,60,59,4,13,40,19
16,Applied Science,Exercise and Fitness Coaching,Female,Percentage,,,6.8%,22.0%,67.8%,32.2%
17,Applied Science,Exercise and Fitness Coaching,Total,Number,248,231,9,36,177,54
18,Applied Science,Exercise and Fitness Coaching,Total,Percentage,,,3.9%,15.6%,76.6%,23.4%
19,Applied Science,Exercise Science and Health Fitness,Male,Number,32,28,1,8,26,2
20,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,3.6%,28.6%,92.9%,7.1%
21,Applied Science,Exercise Science and Health Fitness,Female,Number,12,11,1,4,11,0
22,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,9.1%,36.4%,100.0%,0.0%
