行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),商業服務中文,男生,人數,15,13,2,13,0
2,應用學習中文 (非華語學生適用),商業服務中文,男生,百分比,,,15.4%,100.0%,0.0%
3,應用學習中文 (非華語學生適用),商業服務中文,女生,人數,26,26,8,26,0
4,應用學習中文 (非華語學生適用),商業服務中文,女生,百分比,,,30.8%,100.0%,0.0%
5,應用學習中文 (非華語學生適用),商業服務中文,總數,人數,41,39,10,39,0
6,應用學習中文 (非華語學生適用),商業服務中文,總數,百分比,,,25.6%,100.0%,0.0%
7,應用學習中文 (非華語學生適用),實用情境中文,男生,人數,10,7,1,6,1
8,應用學習中文 (非華語學生適用),實用情境中文,男生,百分比,,,14.3%,85.7%,14.3%
9,應用學習中文 (非華語學生適用),實用情境中文,女生,人數,17,14,5,14,0
10,應用學習中文 (非華語學生適用),實用情境中文,女生,百分比,,,35.7%,100.0%,0.0%
11,應用學習中文 (非華語學生適用),實用情境中文,總數,人數,27,21,6,20,1
12,應用學習中文 (非華語學生適用),實用情境中文,總數,百分比,,,28.6%,95.2%,4.8%
13,應用學習中文 (非華語學生適用),實務中文,男生,人數,18,17,1,9,8
14,應用學習中文 (非華語學生適用),實務中文,男生,百分比,,,5.9%,52.9%,47.1%
15,應用學習中文 (非華語學生適用),實務中文,女生,人數,14,14,2,11,3
16,應用學習中文 (非華語學生適用),實務中文,女生,百分比,,,14.3%,78.6%,21.4%
17,應用學習中文 (非華語學生適用),實務中文,總數,人數,32,31,3,20,11
18,應用學習中文 (非華語學生適用),實務中文,總數,百分比,,,9.7%,64.5%,35.5%
19,應用學習中文 (非華語學生適用),,男生,人數,43,37,4,28,9
20,應用學習中文 (非華語學生適用),,男生,百分比,,,10.8%,75.7%,24.3%
21,應用學習中文 (非華語學生適用),,女生,人數,57,54,15,51,3
22,應用學習中文 (非華語學生適用),,女生,百分比,,,27.8%,94.4%,5.6%
23,應用學習中文 (非華語學生適用),,總數,人數,100,91,19,79,12
24,應用學習中文 (非華語學生適用),,總數,百分比,,,20.9%,86.8%,13.2%
