行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
168,媒體及傳意,雜誌編輯與製作,總數,百分比,,,20.0%,53.3%,100.0%,0.0%
169,媒體及傳意,公關及傳訊,男生,人數,5,3,0,0,3,0
170,媒體及傳意,公關及傳訊,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
171,媒體及傳意,公關及傳訊,女生,人數,10,7,2,5,7,0
172,媒體及傳意,公關及傳訊,女生,百分比,,,28.6%,71.4%,100.0%,0.0%
173,媒體及傳意,公關及傳訊,總數,人數,15,10,2,5,10,0
174,媒體及傳意,公關及傳訊,總數,百分比,,,20.0%,50.0%,100.0%,0.0%
175,服務,幼兒發展,男生,人數,1,1,0,0,1,0
176,服務,幼兒發展,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
177,服務,幼兒發展,女生,人數,50,48,4,16,48,0
178,服務,幼兒發展,女生,百分比,,,8.3%,33.3%,100.0%,0.0%
179,服務,幼兒發展,總數,人數,51,49,4,16,49,0
180,服務,幼兒發展,總數,百分比,,,8.2%,32.7%,100.0%,0.0%
181,服務,幼兒教育,男生,人數,13,11,0,0,9,2
182,服務,幼兒教育,男生,百分比,,,0.0%,0.0%,81.8%,18.2%
183,服務,幼兒教育,女生,人數,141,139,14,53,136,3
184,服務,幼兒教育,女生,百分比,,,10.1%,38.1%,97.8%,2.2%
185,服務,幼兒教育,總數,人數,154,150,14,53,145,5
186,服務,幼兒教育,總數,百分比,,,9.3%,35.3%,96.7%,3.3%
187,服務,美容學基礎,男生,人數,8,4,0,0,4,0
188,服務,美容學基礎,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
189,服務,美容學基礎,女生,人數,129,108,5,27,105,3
190,服務,美容學基礎,女生,百分比,,,4.6%,25.0%,97.2%,2.8%
191,服務,美容學基礎,總數,人數,137,112,5,27,109,3
192,服務,美容學基礎,總數,百分比,,,4.5%,24.1%,97.3%,2.7%
193,服務,酒店服務營運,男生,人數,43,38,3,6,35,3
194,服務,酒店服務營運,男生,百分比,,,7.9%,15.8%,92.1%,7.9%
195,服務,酒店服務營運,女生,人數,75,71,5,19,68,3
196,服務,酒店服務營運,女生,百分比,,,7.0%,26.8%,95.8%,4.2%
197,服務,酒店服務營運,總數,人數,118,109,8,25,103,6
198,服務,酒店服務營運,總數,百分比,,,7.3%,22.9%,94.5%,5.5%
199,服務,酒店營運,男生,人數,59,52,2,8,43,9
200,服務,酒店營運,男生,百分比,,,3.8%,15.4%,82.7%,17.3%
201,服務,酒店營運,女生,人數,45,43,3,15,41,2
202,服務,酒店營運,女生,百分比,,,7.0%,34.9%,95.3%,4.7%
203,服務,酒店營運,總數,人數,104,95,5,23,84,11
204,服務,酒店營運,總數,百分比,,,5.3%,24.2%,88.4%,11.6%
205,服務,甜品及咖啡店營運,男生,人數,85,73,1,10,73,0
206,服務,甜品及咖啡店營運,男生,百分比,,,1.4%,13.7%,100.0%,0.0%
207,服務,甜品及咖啡店營運,女生,人數,145,140,11,48,137,3
208,服務,甜品及咖啡店營運,女生,百分比,,,7.9%,34.3%,97.9%,2.1%
209,服務,甜品及咖啡店營運,總數,人數,230,213,12,58,210,3
210,服務,甜品及咖啡店營運,總數,百分比,,,5.6%,27.2%,98.6%,1.4%
211,服務,西式食品製作,男生,人數,275,232,5,29,201,31
212,服務,西式食品製作,男生,百分比,,,2.2%,12.5%,86.6%,13.4%
213,服務,西式食品製作,女生,人數,272,248,14,53,231,17
214,服務,西式食品製作,女生,百分比,,,5.6%,21.4%,93.1%,6.9%
215,服務,西式食品製作,總數,人數,547,480,19,82,432,48
216,服務,西式食品製作,總數,百分比,,,4.0%,17.1%,90.0%,10.0%
217,所有乙類學科 (不包括應用學習中文),,男生,人數,1620,1408,70,277,1268,140
218,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,5.0%,19.7%,90.1%,9.9%
219,所有乙類學科 (不包括應用學習中文),,女生,人數,1827,1707,186,597,1643,64
220,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,10.9%,35.0%,96.3%,3.7%
221,所有乙類學科 (不包括應用學習中文),,總數,人數,3447,3115,256,874,2911,204
222,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,8.2%,28.1%,93.5%,6.5%
