行號,科目,性別,類別,報考人數,出席人數,表現 - a,表現 - b+,表現 - c+,表現 - d+,表現 - e+,表現 - U
1,法語,男生,人數,17,16,3,7,11,13,14,2
2,法語,男生,百分比,,,18.8%,43.8%,68.8%,81.3%,87.5%,12.5%
3,法語,女生,人數,24,21,6,10,12,15,17,4
4,法語,女生,百分比,,,28.6%,47.6%,57.1%,71.4%,81.0%,19.0%
5,法語,總數,人數,41,37,9,17,23,28,31,6
6,法語,總數,百分比,,,24.3%,45.9%,62.2%,75.7%,83.8%,16.2%
7,德語,男生,人數,0,0,-,-,-,-,-,-
8,德語,男生,百分比,,,-,-,-,-,-,-
9,德語,女生,人數,3,3,1,1,2,2,3,0
10,德語,女生,百分比,,,33.3%,33.3%,66.7%,66.7%,100.0%,0.0%
11,德語,總數,人數,3,3,1,1,2,2,3,0
12,德語,總數,百分比,,,33.3%,33.3%,66.7%,66.7%,100.0%,0.0%
13,印地語,男生,人數,5,3,0,0,2,2,3,0
14,印地語,男生,百分比,,,0.0%,0.0%,66.7%,66.7%,100.0%,0.0%
15,印地語,女生,人數,5,5,2,2,3,3,4,1
16,印地語,女生,百分比,,,40.0%,40.0%,60.0%,60.0%,80.0%,20.0%
17,印地語,總數,人數,10,8,2,2,5,5,7,1
18,印地語,總數,百分比,,,25.0%,25.0%,62.5%,62.5%,87.5%,12.5%
19,日語,男生,人數,98,93,48,69,78,83,89,4
20,日語,男生,百分比,,,51.6%,74.2%,83.9%,89.2%,95.7%,4.3%
21,日語,女生,人數,219,210,116,163,187,199,204,6
22,日語,女生,百分比,,,55.2%,77.6%,89.0%,94.8%,97.1%,2.9%
23,日語,總數,人數,317,303,164,232,265,282,293,10
24,日語,總數,百分比,,,54.1%,76.6%,87.5%,93.1%,96.7%,3.3%
25,西班牙語,男生,人數,12,10,3,6,7,8,10,0
26,西班牙語,男生,百分比,,,30.0%,60.0%,70.0%,80.0%,100.0%,0.0%
27,西班牙語,女生,人數,5,5,3,3,4,4,5,0
28,西班牙語,女生,百分比,,,60.0%,60.0%,80.0%,80.0%,100.0%,0.0%
29,西班牙語,總數,人數,17,15,6,9,11,12,15,0
30,西班牙語,總數,百分比,,,40.0%,60.0%,73.3%,80.0%,100.0%,0.0%
31,烏爾都語,男生,人數,15,9,5,6,6,6,6,3
32,烏爾都語,男生,百分比,,,55.6%,66.7%,66.7%,66.7%,66.7%,33.3%
33,烏爾都語,女生,人數,13,13,6,8,11,13,13,0
34,烏爾都語,女生,百分比,,,46.2%,61.5%,84.6%,100.0%,100.0%,0.0%
35,烏爾都語,總數,人數,28,22,11,14,17,19,19,3
36,烏爾都語,總數,百分比,,,50.0%,63.6%,77.3%,86.4%,86.4%,13.6%
37,所有丙類學科,男生,人數,147,131,59,88,104,112,122,9
38,所有丙類學科,男生,百分比,,,45.0%,67.2%,79.4%,85.5%,93.1%,6.9%
39,所有丙類學科,女生,人數,269,257,134,187,219,236,246,11
40,所有丙類學科,女生,百分比,,,52.1%,72.8%,85.2%,91.8%,95.7%,4.3%
41,所有丙類學科,總數,人數,416,388,193,275,323,348,368,20
42,所有丙類學科,總數,百分比,,,49.7%,70.9%,83.2%,89.7%,94.8%,5.2%
