行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數"
1,考生人數,數字,24881,24815,49696,26366,25785,52151
2,總積點 10 – 12,數字,1870,1804,3674,1974,1887,3861
3,總積點 10 – 12,百分比,7.5%,7.3%,7.4%,7.5%,7.3%,7.4%
4,總積點 13 – 15,數字,3293,3660,6953,3508,3789,7297
5,總積點 13 – 15,百分比,13.2%,14.7%,14.0%,13.3%,14.7%,14.0%
6,總積點 16 – 18,數字,3741,4718,8459,3971,4855,8826
7,總積點 16 – 18,百分比,15.0%,19.0%,17.0%,15.1%,18.8%,16.9%
8,總積點 19 – 21,數字,3105,4071,7176,3252,4142,7394
9,總積點 19 – 21,百分比,12.5%,16.4%,14.4%,12.3%,16.1%,14.2%
10,總積點 22 – 24,數字,1775,2362,4137,1854,2405,4259
11,總積點 22 – 24,百分比,7.1%,9.5%,8.3%,7.0%,9.3%,8.2%
12,總積點 25 – 27,數字,1042,1249,2291,1071,1266,2337
13,總積點 25 – 27,百分比,4.2%,5.0%,4.6%,4.1%,4.9%,4.5%
14,總積點 28 – 30,數字,531,634,1165,543,643,1186
15,總積點 28 – 30,百分比,2.1%,2.6%,2.3%,2.1%,2.5%,2.3%
16,總積點 31 – 33,數字,320,312,632,329,314,643
17,總積點 31 – 33,百分比,1.3%,1.3%,1.3%,1.2%,1.2%,1.2%
18,總積點 34 – 35,數字,113,73,186,114,73,187
19,總積點 34 – 35,百分比,0.5%,0.3%,0.4%,0.4%,0.3%,0.4%
