行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),服務業中文,男生,人數,66,64,13,56,8
2,應用學習中文 (非華語學生適用),服務業中文,男生,百分比,,,20.3%,87.5%,12.5%
3,應用學習中文 (非華語學生適用),服務業中文,女生,人數,49,46,17,44,2
4,應用學習中文 (非華語學生適用),服務業中文,女生,百分比,,,37.0%,95.7%,4.3%
5,應用學習中文 (非華語學生適用),服務業中文,總數,人數,115,110,30,100,10
6,應用學習中文 (非華語學生適用),服務業中文,總數,百分比,,,27.3%,90.9%,9.1%
7,應用學習中文 (非華語學生適用),款待實務中文,男生,人數,11,9,2,8,1
8,應用學習中文 (非華語學生適用),款待實務中文,男生,百分比,,,22.2%,88.9%,11.1%
9,應用學習中文 (非華語學生適用),款待實務中文,女生,人數,16,15,3,12,3
10,應用學習中文 (非華語學生適用),款待實務中文,女生,百分比,,,20.0%,80.0%,20.0%
11,應用學習中文 (非華語學生適用),款待實務中文,總數,人數,27,24,5,20,4
12,應用學習中文 (非華語學生適用),款待實務中文,總數,百分比,,,20.8%,83.3%,16.7%
13,應用學習中文 (非華語學生適用),,男生,人數,77,73,15,64,9
14,應用學習中文 (非華語學生適用),,男生,百分比,,,20.5%,87.7%,12.3%
15,應用學習中文 (非華語學生適用),,女生,人數,65,61,20,56,5
16,應用學習中文 (非華語學生適用),,女生,百分比,,,32.8%,91.8%,8.2%
17,應用學習中文 (非華語學生適用),,總數,人數,142,134,35,120,14
18,應用學習中文 (非華語學生適用),,總數,百分比,,,26.1%,89.6%,10.4%
