行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標
34,應用科學,醫務化驗科學,女生,百分比,,,21.2%,48.5%,54.5%,45.5%
35,應用科學,醫務化驗科學,總數,人數,56,55,15,32,34,21
36,應用科學,醫務化驗科學,總數,百分比,,,27.3%,58.2%,61.8%,38.2%
37,應用科學,實用心理學,男生,人數,52,50,3,16,46,4
38,應用科學,實用心理學,男生,百分比,,,6.0%,32.0%,92.0%,8.0%
39,應用科學,實用心理學,女生,人數,34,32,9,21,32,0
40,應用科學,實用心理學,女生,百分比,,,28.1%,65.6%,100.0%,0.0%
41,應用科學,實用心理學,總數,人數,86,82,12,37,78,4
42,應用科學,實用心理學,總數,百分比,,,14.6%,45.1%,95.1%,4.9%
43,應用科學,運動及體適能教練,男生,人數,78,77,1,8,64,13
44,應用科學,運動及體適能教練,男生,百分比,,,1.3%,10.4%,83.1%,16.9%
45,應用科學,運動及體適能教練,女生,人數,29,29,0,4,27,2
46,應用科學,運動及體適能教練,女生,百分比,,,0.0%,13.8%,93.1%,6.9%
47,應用科學,運動及體適能教練,總數,人數,107,106,1,12,91,15
48,應用科學,運動及體適能教練,總數,百分比,,,0.9%,11.3%,85.8%,14.2%
49,商業、管理及法律,會計實務,男生,人數,27,15,0,3,12,3
50,商業、管理及法律,會計實務,男生,百分比,,,0.0%,20.0%,80.0%,20.0%
51,商業、管理及法律,會計實務,女生,人數,26,18,5,9,18,0
52,商業、管理及法律,會計實務,女生,百分比,,,27.8%,50.0%,100.0%,0.0%
53,商業、管理及法律,會計實務,總數,人數,53,33,5,12,30,3
54,商業、管理及法律,會計實務,總數,百分比,,,15.2%,36.4%,90.9%,9.1%
55,商業、管理及法律,中小企創業實務,男生,人數,30,30,2,4,29,1
56,商業、管理及法律,中小企創業實務,男生,百分比,,,6.7%,13.3%,96.7%,3.3%
57,商業、管理及法律,中小企創業實務,女生,人數,13,13,1,3,12,1
58,商業、管理及法律,中小企創業實務,女生,百分比,,,7.7%,23.1%,92.3%,7.7%
59,商業、管理及法律,中小企創業實務,總數,人數,43,43,3,7,41,2
60,商業、管理及法律,中小企創業實務,總數,百分比,,,7.0%,16.3%,95.3%,4.7%
61,商業、管理及法律,香港執法實務,男生,人數,24,22,1,5,18,4
62,商業、管理及法律,香港執法實務,男生,百分比,,,4.5%,22.7%,81.8%,18.2%
63,商業、管理及法律,香港執法實務,女生,人數,13,12,0,3,12,0
64,商業、管理及法律,香港執法實務,女生,百分比,,,0.0%,25.0%,100.0%,0.0%
65,商業、管理及法律,香港執法實務,總數,人數,37,34,1,8,30,4
66,商業、管理及法律,香港執法實務,總數,百分比,,,2.9%,23.5%,88.2%,11.8%
67,商業、管理及法律,市場營銷及網上推廣,男生,人數,12,9,0,1,9,0
68,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,0.0%,11.1%,100.0%,0.0%
69,商業、管理及法律,市場營銷及網上推廣,女生,人數,12,11,3,8,11,0
70,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,27.3%,72.7%,100.0%,0.0%
71,商業、管理及法律,市場營銷及網上推廣,總數,人數,24,20,3,9,20,0
72,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,15.0%,45.0%,100.0%,0.0%
73,創意學習,電腦遊戲及動畫設計,男生,人數,147,143,9,29,134,9
74,創意學習,電腦遊戲及動畫設計,男生,百分比,,,6.3%,20.3%,93.7%,6.3%
75,創意學習,電腦遊戲及動畫設計,女生,人數,38,37,5,13,37,0
76,創意學習,電腦遊戲及動畫設計,女生,百分比,,,13.5%,35.1%,100.0%,0.0%
77,創意學習,電腦遊戲及動畫設計,總數,人數,185,180,14,42,171,9
78,創意學習,電腦遊戲及動畫設計,總數,百分比,,,7.8%,23.3%,95.0%,5.0%
79,創意學習,時裝及形象設計,男生,人數,35,31,2,5,25,6
80,創意學習,時裝及形象設計,男生,百分比,,,6.5%,16.1%,80.6%,19.4%
81,創意學習,時裝及形象設計,女生,人數,130,122,12,34,118,4
82,創意學習,時裝及形象設計,女生,百分比,,,9.8%,27.9%,96.7%,3.3%
83,創意學習,時裝及形象設計,總數,人數,165,153,14,39,143,10
84,創意學習,時裝及形象設計,總數,百分比,,,9.2%,25.5%,93.5%,6.5%
85,創意學習,室內設計,男生,人數,46,39,3,13,38,1
86,創意學習,室內設計,男生,百分比,,,7.7%,33.3%,97.4%,2.6%
87,創意學習,室內設計,女生,人數,51,47,5,19,47,0
88,創意學習,室內設計,女生,百分比,,,10.6%,40.4%,100.0%,0.0%
89,創意學習,室內設計,總數,人數,97,86,8,32,85,1
90,創意學習,室內設計,總數,百分比,,,9.3%,37.2%,98.8%,1.2%
91,創意學習,由踐入藝：粵劇入門,男生,人數,0,0,-,-,-,-
92,創意學習,由踐入藝：粵劇入門,男生,百分比,,,-,-,-,-
93,創意學習,由踐入藝：粵劇入門,女生,人數,0,0,-,-,-,-
94,創意學習,由踐入藝：粵劇入門,女生,百分比,,,-,-,-,-
95,創意學習,由踐入藝：粵劇入門,總數,人數,0,0,-,-,-,-
96,創意學習,由踐入藝：粵劇入門,總數,百分比,,,-,-,-,-
97,創意學習,珠寶及時尚首飾設計,男生,人數,6,4,0,0,3,1
98,創意學習,珠寶及時尚首飾設計,男生,百分比,,,0.0%,0.0%,75.0%,25.0%
99,創意學習,珠寶及時尚首飾設計,女生,人數,23,20,1,8,20,0
100,創意學習,珠寶及時尚首飾設計,女生,百分比,,,5.0%,40.0%,100.0%,0.0%
101,創意學習,珠寶及時尚首飾設計,總數,人數,29,24,1,8,23,1
102,創意學習,珠寶及時尚首飾設計,總數,百分比,,,4.2%,33.3%,95.8%,4.2%
103,創意學習,舞出新機－舞蹈藝術,男生,人數,5,5,0,0,4,1
104,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,0.0%,0.0%,80.0%,20.0%
105,創意學習,舞出新機－舞蹈藝術,女生,人數,63,63,9,26,63,0
106,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,14.3%,41.3%,100.0%,0.0%
107,創意學習,舞出新機－舞蹈藝術,總數,人數,68,68,9,26,67,1
108,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,13.2%,38.2%,98.5%,1.5%
109,創意學習,由戲開始‧劇藝縱橫,男生,人數,26,25,0,10,25,0
110,創意學習,由戲開始‧劇藝縱橫,男生,百分比,,,0.0%,40.0%,100.0%,0.0%
111,創意學習,由戲開始‧劇藝縱橫,女生,人數,45,44,7,20,44,0
112,創意學習,由戲開始‧劇藝縱橫,女生,百分比,,,15.9%,45.5%,100.0%,0.0%
113,創意學習,由戲開始‧劇藝縱橫,總數,人數,71,69,7,30,69,0
114,創意學習,由戲開始‧劇藝縱橫,總數,百分比,,,10.1%,43.5%,100.0%,0.0%
115,工程及生產,汽車科技,男生,人數,71,70,2,7,56,14
116,工程及生產,汽車科技,男生,百分比,,,2.9%,10.0%,80.0%,20.0%
117,工程及生產,汽車科技,女生,人數,1,1,0,0,1,0
118,工程及生產,汽車科技,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
119,工程及生產,汽車科技,總數,人數,72,71,2,7,57,14
120,工程及生產,汽車科技,總數,百分比,,,2.8%,9.9%,80.3%,19.7%
121,工程及生產,航空學,男生,人數,223,197,10,45,178,19
122,工程及生產,航空學,男生,百分比,,,5.1%,22.8%,90.4%,9.6%
123,工程及生產,航空學,女生,人數,146,142,11,58,140,2
124,工程及生產,航空學,女生,百分比,,,7.7%,40.8%,98.6%,1.4%
125,工程及生產,航空學,總數,人數,369,339,21,103,318,21
126,工程及生產,航空學,總數,百分比,,,6.2%,30.4%,93.8%,6.2%
127,工程及生產,屋宇科技,男生,人數,9,9,1,4,8,1
128,工程及生產,屋宇科技,男生,百分比,,,11.1%,44.4%,88.9%,11.1%
129,工程及生產,屋宇科技,女生,人數,6,6,3,6,6,0
130,工程及生產,屋宇科技,女生,百分比,,,50.0%,100.0%,100.0%,0.0%
131,工程及生產,屋宇科技,總數,人數,15,15,4,10,14,1
132,工程及生產,屋宇科技,總數,百分比,,,26.7%,66.7%,93.3%,6.7%
133,工程及生產,電腦鑑證科技,男生,人數,32,32,2,7,31,1
134,工程及生產,電腦鑑證科技,男生,百分比,,,6.3%,21.9%,96.9%,3.1%
135,工程及生產,電腦鑑證科技,女生,人數,5,5,2,3,5,0
136,工程及生產,電腦鑑證科技,女生,百分比,,,40.0%,60.0%,100.0%,0.0%
137,工程及生產,電腦鑑證科技,總數,人數,37,37,4,10,36,1
138,工程及生產,電腦鑑證科技,總數,百分比,,,10.8%,27.0%,97.3%,2.7%
139,工程及生產,電機及能源工程,男生,人數,43,42,3,12,42,0
140,工程及生產,電機及能源工程,男生,百分比,,,7.1%,28.6%,100.0%,0.0%
141,工程及生產,電機及能源工程,女生,人數,1,1,0,1,1,0
142,工程及生產,電機及能源工程,女生,百分比,,,0.0%,100.0%,100.0%,0.0%
143,工程及生產,電機及能源工程,總數,人數,44,43,3,13,43,0
144,工程及生產,電機及能源工程,總數,百分比,,,7.0%,30.2%,100.0%,0.0%
145,媒體及傳意,電影及錄像,男生,人數,116,103,3,14,86,17
146,媒體及傳意,電影及錄像,男生,百分比,,,2.9%,13.6%,83.5%,16.5%
147,媒體及傳意,電影及錄像,女生,人數,47,44,1,8,43,1
148,媒體及傳意,電影及錄像,女生,百分比,,,2.3%,18.2%,97.7%,2.3%
149,媒體及傳意,電影及錄像,總數,人數,163,147,4,22,129,18
150,媒體及傳意,電影及錄像,總數,百分比,,,2.7%,15.0%,87.8%,12.2%
151,媒體及傳意,雜誌編輯與製作,男生,人數,4,4,1,2,4,0
152,媒體及傳意,雜誌編輯與製作,男生,百分比,,,25.0%,50.0%,100.0%,0.0%
153,媒體及傳意,雜誌編輯與製作,女生,人數,19,19,7,13,19,0
154,媒體及傳意,雜誌編輯與製作,女生,百分比,,,36.8%,68.4%,100.0%,0.0%
155,媒體及傳意,雜誌編輯與製作,總數,人數,23,23,8,15,23,0
156,媒體及傳意,雜誌編輯與製作,總數,百分比,,,34.8%,65.2%,100.0%,0.0%
157,媒體及傳意,新媒體傳播策略,男生,人數,0,0,-,-,-,-
158,媒體及傳意,新媒體傳播策略,男生,百分比,,,-,-,-,-
159,媒體及傳意,新媒體傳播策略,女生,人數,0,0,-,-,-,-
160,媒體及傳意,新媒體傳播策略,女生,百分比,,,-,-,-,-
161,媒體及傳意,新媒體傳播策略,總數,人數,0,0,-,-,-,-
162,媒體及傳意,新媒體傳播策略,總數,百分比,,,-,-,-,-
163,服務,幼兒教育,男生,人數,11,11,0,4,11,0
164,服務,幼兒教育,男生,百分比,,,0.0%,36.4%,100.0%,0.0%
165,服務,幼兒教育,女生,人數,175,169,9,44,164,5
166,服務,幼兒教育,女生,百分比,,,5.3%,26.0%,97.0%,3.0%
167,服務,幼兒教育,總數,人數,186,180,9,48,175,5
168,服務,幼兒教育,總數,百分比,,,5.0%,26.7%,97.2%,2.8%
169,服務,餐飲業運作,男生,人數,50,43,0,0,36,7
170,服務,餐飲業運作,男生,百分比,,,0.0%,0.0%,83.7%,16.3%
171,服務,餐飲業運作,女生,人數,39,37,1,8,34,3
172,服務,餐飲業運作,女生,百分比,,,2.7%,21.6%,91.9%,8.1%
173,服務,餐飲業運作,總數,人數,89,80,1,8,70,10
174,服務,餐飲業運作,總數,百分比,,,1.3%,10.0%,87.5%,12.5%
175,服務,美容學基礎,男生,人數,2,1,0,0,1,0
176,服務,美容學基礎,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
177,服務,美容學基礎,女生,人數,141,135,5,27,131,4
178,服務,美容學基礎,女生,百分比,,,3.7%,20.0%,97.0%,3.0%
179,服務,美容學基礎,總數,人數,143,136,5,27,132,4
180,服務,美容學基礎,總數,百分比,,,3.7%,19.9%,97.1%,2.9%
181,服務,酒店服務營運,男生,人數,75,70,4,21,60,10
182,服務,酒店服務營運,男生,百分比,,,5.7%,30.0%,85.7%,14.3%
183,服務,酒店服務營運,女生,人數,129,126,9,35,121,5
184,服務,酒店服務營運,女生,百分比,,,7.1%,27.8%,96.0%,4.0%
185,服務,酒店服務營運,總數,人數,204,196,13,56,181,15
186,服務,酒店服務營運,總數,百分比,,,6.6%,28.6%,92.3%,7.7%
187,服務,酒店營運,男生,人數,88,85,2,6,73,12
188,服務,酒店營運,男生,百分比,,,2.4%,7.1%,85.9%,14.1%
189,服務,酒店營運,女生,人數,98,95,6,28,89,6
190,服務,酒店營運,女生,百分比,,,6.3%,29.5%,93.7%,6.3%
191,服務,酒店營運,總數,人數,186,180,8,34,162,18
192,服務,酒店營運,總數,百分比,,,4.4%,18.9%,90.0%,10.0%
193,服務,甜品及咖啡店營運,男生,人數,53,40,1,5,34,6
194,服務,甜品及咖啡店營運,男生,百分比,,,2.5%,12.5%,85.0%,15.0%
195,服務,甜品及咖啡店營運,女生,人數,79,75,8,19,73,2
196,服務,甜品及咖啡店營運,女生,百分比,,,10.7%,25.3%,97.3%,2.7%
197,服務,甜品及咖啡店營運,總數,人數,132,115,9,24,107,8
198,服務,甜品及咖啡店營運,總數,百分比,,,7.8%,20.9%,93.0%,7.0%
199,服務,西式食品製作,男生,人數,389,362,7,34,342,20
200,服務,西式食品製作,男生,百分比,,,1.9%,9.4%,94.5%,5.5%
201,服務,西式食品製作,女生,人數,293,276,15,75,269,7
202,服務,西式食品製作,女生,百分比,,,5.4%,27.2%,97.5%,2.5%
203,服務,西式食品製作,總數,人數,682,638,22,109,611,27
204,服務,西式食品製作,總數,百分比,,,3.4%,17.1%,95.8%,4.2%
205,所有乙類學科 (不包括應用學習中文),,男生,人數,1901,1736,79,343,1564,172
206,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,4.6%,19.8%,90.1%,9.9%
207,所有乙類學科 (不包括應用學習中文),,女生,人數,2022,1920,188,649,1857,63
208,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,9.8%,33.8%,96.7%,3.3%
209,所有乙類學科 (不包括應用學習中文),,總數,人數,3923,3656,267,992,3421,235
210,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,7.3%,27.1%,93.6%,6.4%
