行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數"
1,考生人數,人數,22692,22682,45374,23940,23586,47526
2,總積點 10 – 12,人數,1798,1618,3416,1896,1698,3594
3,總積點 10 – 12,百分比,7.9%,7.1%,7.5%,7.9%,7.2%,7.6%
4,總積點 13 – 15,人數,3120,3404,6524,3296,3512,6808
5,總積點 13 – 15,百分比,13.7%,15.0%,14.4%,13.8%,14.9%,14.3%
6,總積點 16 – 18,人數,3493,4249,7742,3655,4363,8018
7,總積點 16 – 18,百分比,15.4%,18.7%,17.1%,15.3%,18.5%,16.9%
8,總積點 19 – 21,人數,2966,3789,6755,3076,3871,6947
9,總積點 19 – 21,百分比,13.1%,16.7%,14.9%,12.8%,16.4%,14.6%
10,總積點 22 – 24,人數,1773,2211,3984,1826,2246,4072
11,總積點 22 – 24,百分比,7.8%,9.7%,8.8%,7.6%,9.5%,8.6%
12,總積點 25 – 27,人數,988,1216,2204,1010,1242,2252
13,總積點 25 – 27,百分比,4.4%,5.4%,4.9%,4.2%,5.3%,4.7%
14,總積點 28 – 30,人數,553,679,1232,560,695,1255
15,總積點 28 – 30,百分比,2.4%,3.0%,2.7%,2.3%,2.9%,2.6%
16,總積點 31 – 33,人數,284,280,564,289,286,575
17,總積點 31 – 33,百分比,1.3%,1.2%,1.2%,1.2%,1.2%,1.2%
18,總積點 34 – 35,人數,101,84,185,101,85,186
19,總積點 34 – 35,百分比,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%
