行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數"
1,考生人數,人數,21497,21546,43043,22576,22355,44931
2,總積點 10 – 12,人數,1804,1726,3530,1889,1803,3692
3,總積點 10 – 12,百分比,8.4%,8.0%,8.2%,8.4%,8.1%,8.2%
4,總積點 13 – 15,人數,3034,3245,6279,3178,3355,6533
5,總積點 13 – 15,百分比,14.1%,15.1%,14.6%,14.1%,15.0%,14.5%
6,總積點 16 – 18,人數,3267,3977,7244,3420,4083,7503
7,總積點 16 – 18,百分比,15.2%,18.5%,16.8%,15.1%,18.3%,16.7%
8,總積點 19 – 21,人數,2646,3633,6279,2727,3694,6421
9,總積點 19 – 21,百分比,12.3%,16.9%,14.6%,12.1%,16.5%,14.3%
10,總積點 22 – 24,人數,1647,2018,3665,1692,2047,3739
11,總積點 22 – 24,百分比,7.7%,9.4%,8.5%,7.5%,9.2%,8.3%
12,總積點 25 – 27,人數,869,1046,1915,878,1059,1937
13,總積點 25 – 27,百分比,4.0%,4.9%,4.4%,3.9%,4.7%,4.3%
14,總積點 28 – 30,人數,518,575,1093,524,581,1105
15,總積點 28 – 30,百分比,2.4%,2.7%,2.5%,2.3%,2.6%,2.5%
16,總積點 31 – 33,人數,236,268,504,238,269,507
17,總積點 31 – 33,百分比,1.1%,1.2%,1.2%,1.1%,1.2%,1.1%
18,總積點 34 – 35,人數,91,69,160,92,69,161
19,總積點 34 – 35,百分比,0.4%,0.3%,0.4%,0.4%,0.3%,0.4%
